# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.stubs.lookupDurationAvgMs,1747919494721000000,1747919554719000000,0.0
Indexes.entries.lookupDurationAvgMs,1747919494721000000,1747919554719000000,0.056074766355140186
Indexing.writer_1.totalTimeSpentWritingMs,1747919494721000000,1747919554719000000,0
Indexes.entries.lookups,1747919494721000000,1747919554719000000,214
Indexing.writesQueuedMin,1747919494721000000,1747919554719000000,0
Indexing.totalTimeIndexersSleptMs,1747919494721000000,1747919554719000000,0
Indexes.allKeys.lookupDurationAvgMs,1747919494721000000,1747919554719000000,0.0
Indexes.entries.lookupDurationMaxMs,1747919494721000000,1747919554719000000,1.0
Indexing.cache.totalCacheAccesses,1747919494721000000,1747919554719000000,952
Indexes.allKeys.lookups,1747919494721000000,1747919554719000000,3
Indexing.writer_0.totalTimeSpentWritingMs,1747919494721000000,1747919554719000000,0
Indexes.entries.lookupDuration90PMs,1747919494721000000,1747919554719000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1747919494721000000,1747919554719000000,0.0
Indexing.writesQueuedMax,1747919494721000000,1747919554719000000,0
Indexes.stubs.lookupDurationMaxMs,1747919494721000000,1747919554719000000,0.0
jps.global.get.libraries.ms,1747919494721000000,1747919554719000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1747919494721000000,1747919554719000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1747919494721000000,1747919554719000000,0
jps.load.project.to.empty.storage.ms,1747919494721000000,1747919554719000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1747919494721000000,1747919554719000000,0
jps.app.storage.content.writer.save.component.ms,1747919494721000000,1747919554719000000,0
workspaceModel.global.updates.count,1747919494721000000,1747919554719000000,0
workspaceModel.do.save.caches.ms,1747919494721000000,1747919554719000000,0
workspaceModel.orphan.listener.update.ms,1747919494721000000,1747919554719000000,0
jps.save.global.entities.ms,1747919494721000000,1747919554719000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1747919494721000000,1747919554719000000,0
jps.reload.project.entities.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1747919494721000000,1747919554719000000,0
workspaceModel.global.apply.state.to.project.ms,1747919494721000000,1747919554719000000,0
workspaceModel.moduleBridge.before.changed.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.instances.count,1747919494721000000,1747919554719000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1747919494721000000,1747919554719000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1747919494721000000,1747919554719000000,0
jps.save.changed.project.entities.ms,1747919494721000000,1747919554719000000,1
workspaceModel.delayed.project.synchronizer.sync.ms,1747919494721000000,1747919554719000000,0
jps.project.serializers.save.ms,1747919494721000000,1747919554719000000,1
jps.artifact.entities.serializer.load.entities.ms,1747919494721000000,1747919554719000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1747919494721000000,1747919554719000000,0
jps.facet.change.listener.process.change.events.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.entities.ms,1747919494721000000,1747919554719000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1747919494721000000,1747919554719000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1747919494721000000,1747919554719000000,0
workspaceModel.global.updates.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1747919494721000000,1747919554719000000,0
jps.apply.loaded.storage.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1747919494721000000,1747919554719000000,0
jps.load.initial.state.ms,1747919494721000000,1747919554719000000,0
workspaceModel.load.cache.metadata.from.file.ms,1747919494721000000,1747919554719000000,0
jps.app.storage.content.reader.load.component.ms,1747919494721000000,1747919554719000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1747919494721000000,1747919554719000000,0
jps.global.initialize.library.bridges.after.loading.ms,1747919494721000000,1747919554719000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1747919494721000000,1747919554719000000,0
jps.library.entities.serializer.save.entities.ms,1747919494721000000,1747919554719000000,0
jps.facet.change.listener.before.change.events.ms,1747919494721000000,1747919554719000000,0
jps.module.iml.entities.serializer.save.entities.ms,1747919494721000000,1747919554719000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1747919494721000000,1747919554719000000,0
jps.artifact.entities.serializer.save.entities.ms,1747919494721000000,1747919554719000000,0
jps.storage.jps.conf.reader.load.component.ms,1747919494721000000,1747919554719000000,0
jps.facet.change.listener.init.bridge.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1747919494721000000,1747919554719000000,0
jps.global.get.library.ms,1747919494721000000,1747919554719000000,0
workspaceModel.sync.entities.ms,1747919494721000000,1747919554719000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1747919494721000000,1747919554719000000,0
workspaceModel.load.cache.from.file.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1747919494721000000,1747919554719000000,0
jps.library.entities.serializer.load.entities.ms,1747919494721000000,1747919554719000000,0
jps.global.get.library.by.name.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1747919494721000000,1747919554719000000,0
jps.global.handle.before.change.events.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1747919494721000000,1747919554719000000,0
workspaceModel.save.cache.to.file.ms,1747919494721000000,1747919554719000000,0
jps.project.serializers.load.ms,1747919494721000000,1747919554719000000,0
jps.module.iml.entities.serializer.load.entities.ms,1747919494721000000,1747919554719000000,0
jps.global.handle.changed.events.ms,1747919494721000000,1747919554719000000,0
workspaceModel.moduleBridge.update.option.ms,1747919494721000000,1747919554719000000,0
jps.global.initialize.library.bridges.ms,1747919494721000000,1747919554719000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1747919494721000000,1747919554719000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1747919494721000000,1747919554719000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1747919494721000000,1747919554719000000,0
workspaceModel.cachedValueWithParameters.clear.count,1747919494721000000,1747919554719000000,0
workspaceModel.on.changed.ms,1747919494721000000,1747919554719000000,0
workspaceModel.cachedValue.clear.count,1747919494721000000,1747919554719000000,0
workspaceModel.loading.from.cache.ms,1747919494721000000,1747919554719000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1747919494721000000,1747919554719000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1747919494721000000,1747919554719000000,0
workspaceModel.on.before.changed.ms,1747919494721000000,1747919554719000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1747919494721000000,1747919554719000000,0
workspaceModel.initializing.ms,1747919494721000000,1747919554719000000,0
workspaceModel.to.snapshot.ms,1747919494721000000,1747919554719000000,0
workspaceModel.cachedValue.from.cache.count,1747919494721000000,1747919554719000000,412
workspaceModel.init.bridges.ms,1747919494721000000,1747919554719000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1747919494721000000,1747919554719000000,0
workspaceModel.cachedValue.total.get.count,1747919494721000000,1747919554719000000,412
workspaceModel.update.unloaded.entities.ms,1747919494721000000,1747919554719000000,0
workspaceModel.updates.count,1747919494721000000,1747919554719000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1747919494721000000,1747919554719000000,5
workspaceModel.updates.ms,1747919494721000000,1747919554719000000,0
workspaceModel.workspaceFileIndexData.init.ms,1747919494721000000,1747919554719000000,0
workspaceModel.cachedValue.calculated.count,1747919494721000000,1747919554719000000,0
workspaceModel.pre.handlers.ms,1747919494721000000,1747919554719000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1747919494721000000,1747919554719000000,0
workspaceModel.updates.precise.ms,1747919494721000000,1747919554719000000,0
workspaceModel.replace.project.model.ms,1747919494721000000,1747919554719000000,0
workspaceModel.check.recursive.update.ms,1747919494721000000,1747919554719000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1747919494721000000,1747919554719000000,0
workspaceModel.workspaceFileIndexData.instances.count,1747919494721000000,1747919554719000000,0
workspaceModel.loading.total.ms,1747919494721000000,1747919554719000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1747919494721000000,1747919554719000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1747919494721000000,1747919554719000000,0
workspaceModel.collect.changes.ms,1747919494721000000,1747919554719000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1747919494721000000,1747919554719000000,0
workspaceModel.full.replace.project.model.ms,1747919494721000000,1747919554719000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1747919494721000000,1747919554719000000,0
cacheStateStorage.set.counter,1747919554719000000,1747919614719000000,26
cacheStateStorage.get.duration,1747919554719000000,1747919614719000000,0
cacheStateStorage.set.duration,1747919554719000000,1747919614719000000,1
cacheStateStorage.get.counter,1747919554719000000,1747919614719000000,0
DiskQueryRelay.tasksExecuted,1747919554719000000,1747919614719000000,0
writeAction.max.wait.ms,1747919554719000000,1747919614719000000,9
writeAction.count,1747919554719000000,1747919614719000000,0
DiskQueryRelay.tasksRequested,1747919554719000000,1747919614719000000,0
writeAction.wait.ms,1747919554719000000,1747919614719000000,0
writeAction.median.wait.ms,1747919554719000000,1747919614719000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1747919554719000000,1747919614719000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1747919554719000000,1747919614719000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1747919554719000000,1747919614719000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1747919554719000000,1747919614719000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1747919554719000000,1747919614719000000,0
compiler.ArtifactManagerBridge.commit.ms,1747919554719000000,1747919614719000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1747919554719000000,1747919614719000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1747919554719000000,1747919614719000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1747919554719000000,1747919614719000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1747919554719000000,1747919614719000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1747919554719000000,1747919614719000000,0
VFS.contentStorage.recordsReadSize,1747919554719000000,1747919614719000000,0
VFS.invertedFileNameIndex.requests,1747919554719000000,1747919614719000000,0
VFS.contentStorage.recordsStored,1747919554719000000,1747919614719000000,0
FileNameCache.queries,1747919554719000000,1747919614719000000,0
VFS.contentStorage.recordsUncompressedSize,1747919554719000000,1747919614719000000,0
VFS.folderCaseSensitivityReads,1747919554719000000,1747919614719000000,0
VFS.fileByIdCache.hits,1747919554719000000,1747919614719000000,0
FileNameCache.totalMisses,1747919554719000000,1747919614719000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1747919554719000000,1747919614719000000,0
VFS.fileChildByName,1747919554719000000,1747919614719000000,10
VFS.contentStorage.recordsDeduplicated,1747919554719000000,1747919614719000000,0
VFS.contentStorage.recordsRead,1747919554719000000,1747919614719000000,0
VFS.fileByIdCache.misses,1747919554719000000,1747919614719000000,0
VFS.contentStorage.recordsStoredSize,1747919554719000000,1747919614719000000,0
VFS.contentStorage.recordsStoredCompressed,1747919554719000000,1747919614719000000,0
VFS.contentStorage.recordsReadDecompressed,1747919554719000000,1747919614719000000,0
JVM.totalTimeToSafepointsMs,1747919554719000000,1747919614719000000,0
JVM.usedNativeBytes,1747919554719000000,1747919614719000000,309924888
MEM.ramPlusSwapMinusFileMappingsBytes,1747919554719000000,1747919614719000000,1569320960
MEM.ramMinusFileMappingsBytes,1747919554719000000,1747919614719000000,1569320960
JVM.totalCpuTimeMs,1747919554719000000,1747919614719000000,3030
JVM.totalDirectByteBuffersBytes,1747919554719000000,1747919614719000000,630148629
JVM.committedHeapBytes,1747919554719000000,1747919614719000000,476053504
JVM.usedHeapBytes,1747919554719000000,1747919614719000000,305547824
JVM.newThreadsCount,1747919554719000000,1747919614719000000,1
JVM.totalBytesAllocated,1747919554719000000,1747919614719000000,67022976
JVM.GC.collections,1747919554719000000,1747919614719000000,1
JVM.totalSafepointCount,1747919554719000000,1747919614719000000,23
OS.loadAverage,1747919554719000000,1747919614719000000,0.93701171875
JVM.totalTimeAtSafepointsMs,1747919554719000000,1747919614719000000,16
MEM.fileMappingsRamBytes,1747919554719000000,1747919614719000000,521936896
JVM.GC.collectionTimesMs,1747919554719000000,1747919614719000000,8
JVM.maxHeapBytes,1747919554719000000,1747919614719000000,891289600
JVM.maxThreadCount,1747919554719000000,1747919614719000000,88
JVM.threadCount,1747919554719000000,1747919614719000000,67
MEM.ramBytes,1747919554719000000,1747919614719000000,2096795648
FlushQueue.waitingTimeAvgNs,1747919554719000000,1747919614719000000,598193.2307692308
NonBlockingReadAction.finalizedExecutionsCount,1747919554719000000,1747919614719000000,4
WriteAction.executionsCount,1747919554719000000,1747919614719000000,0
AWTEventQueue.dispatchTimeMaxNs,1747919554719000000,1747919614719000000,999423
AWTEventQueue.dispatchTimeAvgNs,1747919554719000000,1747919614719000000,586830.7692307692
FlushQueue.queueSizeAvg,1747919554719000000,1747919614719000000,0.0
FlushQueue.executionTime90PNs,1747919554719000000,1747919614719000000,309247
NonBlockingReadAction.failedExecutionTimeUs,1747919554719000000,1747919614719000000,0
